Self Sourcing Component Lists,,,,,
,,,,,
MSX Memory Module,,Notes,Digikey,Mouser,Other
1,20 POS IC SOCKET,,https://www.digikey.com.au/en/products/detail/adam-tech/ICS-320-T/9832868,https://au.mouser.com/ProductDetail/571-1-2199298-6,
1,40 POS IC SOCKET,,https://www.digikey.com.au/en/products/detail/adam-tech/ICS-640-T/9832863,https://au.mouser.com/ProductDetail/571-1-2199299-5,
,,,,,
MSX YM2413 Music Module,,,,,
8,0.1uF,,https://www.digikey.com.au/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF5UL2/2820511,https://au.mouser.com/ProductDetail/594-K104K15X7RF5UL2,
2,1uF,,https://www.digikey.com.au/en/products/detail/860020672005/732-8851-1-ND/5728796?itemSeq=388789302,https://au.mouser.com/ProductDetail/710-860020672005,
2,33pF,,https://www.digikey.com.au/en/products/detail/vishay-beyschlag-draloric-bc-components/K330J15C0GF5TL2/286461,https://au.mouser.com/ProductDetail/594-K330J15C0GF5TL2,
2,10nF,,,https://au.mouser.com/ProductDetail/594-K103K10X7RF5UL2,
2,330pf,,,https://au.mouser.com/ProductDetail/80-C315C331J3G5TA,
2,2.2uF (AudioGrade),,,https://au.mouser.com/ProductDetail/647-UFG1H2R2MDM1TD,
1,1000uF (Aluminum Polymer LOW ESR),,https://www.digikey.com.au/en/products/detail/kemet/A750KK108M0JAAE015/6196437,https://au.mouser.com/ProductDetail/80-A750KK108M0JAAE15,
1,220uF (Aluminum Polymer LOW ESR),,https://www.digikey.com.au/en/products/detail/kemet/A750BG227M0JAAE020/6196320,https://au.mouser.com/ProductDetail/80-A750BG227M0JAAE20,
1,560 uH,,,https://au.mouser.com/ProductDetail/652-5300-34-RC,
1,1K Ω,,,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-1K,
4,2K2 Ω,,https://www.digikey.com.au/en/products/detail/yageo/MFR-25FTE52-2K2/9140022,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-2K2,
2,169K Ω,,,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-169K,
2,22K Ω,,,https://au.mouser.com/ProductDetail/603-MFR-25FRF52-22K,
1,YM2413,,,,
1,74HCT273,,https://www.digikey.com.au/product-detail/en/texas-instruments/SN74HCT273N/296-1613-5-ND/277259,https://au.mouser.com/ProductDetail/Texas-Instruments/CD74HCT273EE4?qs=xFfolx0DHx1JPblri%252Blx3Q%3D%3D,
2,74HCT138,,https://www.digikey.com.au/product-detail/en/texas-instruments/SN74HCT138N/296-1608-5-ND/277254,https://au.mouser.com/ProductDetail/595-SN74HCT138NE4,
1,SST39SF040,,https://www.digikey.com.au/en/products/detail/microchip-technology/SST39SF040-70-4C-PHE/2297835,https://au.mouser.com/ProductDetail/Microchip-Technology/SST39SF040-70-4C-PHE?qs=%2Fha2pyFadujkDeZaoAyEnm50qWV0jYNPQ%252BfI5%2FdRjl8%3D,
1,TL071IP,,,https://au.mouser.com/ProductDetail/595-TL071IPE4,
1,TC7660,,,https://au.mouser.com/ProductDetail/579-TC7660HCPA,
1,74HCT32,,,https://au.mouser.com/ProductDetail/595-SN74HCT32N,
1,74HCT21,,https://www.digikey.com.au/products/en/integrated-circuits-ics/logic-gates-and-inverters/705?k=74hct21&k=&pkeyword=74hct21&sv=0&pv69=411897&sf=0&quantity=&ColumnSort=0&page=1&stock=1&excludemarketplace=1&pageSize=100,https://au.mouser.com/ProductDetail/595-CD74HCT21E,
1,3.579545MHz,,,https://au.mouser.com/ProductDetail/ABRACON/ABL-3579545MHZ-B2?qs=%2Fha2pyFadugmLov0EvILnRfBVMxQdEtu9DZ6bG0nF6HR%2FySr4eE1Sg%3D%3D,
1,3.5 AUDIO SOCKET,,https://www.digikey.com.au/product-detail/en/SJ1-3523N/CP1-3523N-ND/738689,,
1,HEADER 1x2,,,,
1,RA HEADER 1x2,,,,
1,32 POS IC SOCKET,,https://www.digikey.com.au/product-detail/en/adam-tech/ICS-632-T/2057-ICS-632-T-ND/9832864,https://au.mouser.com/ProductDetail/649-DILB32P223TLF,
1,20 POS IC SOCKET,,https://www.digikey.com.au/en/products/detail/adam-tech/ICS-320-T/9832868,https://au.mouser.com/ProductDetail/571-1-2199298-6,
1,18 POS IC SOCKET,,https://www.digikey.com.au/product-detail/en/adam-tech/ICS-318-T/2057-ICS-318-T-ND/9832865,https://au.mouser.com/ProductDetail/571-1-2199298-5,
2,16 POS IC SOCKET,,https://www.digikey.com.au/product-detail/en/adam-tech/ICS-316-T/2057-ICS-316-T-ND/9832862,https://au.mouser.com/ProductDetail/571-1-2199298-4,
2,14 POS IC SOCKET,,https://www.digikey.com.au/product-detail/en/on-shore-technology-inc/ED14DT/ED3045-5-ND/4147595,https://au.mouser.com/ProductDetail/571-1-2199298-3,
2,8 POS IC SOCKET,,https://www.digikey.com.au/en/products/detail/assmann-wsw-components/A-08-LC-TT/821740,https://au.mouser.com/ProductDetail/Amphenol-FCI/DILB8P-223TLF?qs=gISD9T5QW%2FAiSV%252BbCwW%2Fog%3D%3D,
2,Right Angle 1x20 Header,,https://www.digikey.com.au/product-detail/en/sullins-connector-solutions/PRPC020SBAN-M71RC/S1111EC-20-ND/2775314,https://au.mouser.com/ProductDetail/649-1012937992001BLF,
1,Jumper wire - female to female,,https://www.digikey.com.au/en/products/detail/adafruit-industries-llc/1950/6827084,,
,,,,,
,,,,,
,,,,,
*1,Needs programming/flashing,,,,
*2,Note the Narrow width,,,,
*3,No longer mannufactured,,,,
*4,When ordering from ali-express note pin layout - images may not be accurate,,,,
*5,Alt. old-as-new original also works,,,,
